decision_datetime,execution_datetime,state,chosen_action,chosen_action_name,executed_action_name,reward,position_before,position_after,close,next_open,next_close,ma_gap,rsi14,macd_hist,momentum_5,volume_ratio,q_hold,q_buy,q_sell
2024-04-29,2024-04-30,"(0, 1, 0, 1, 0, 0)",1,BUY,BUY,-5.096094948799044,0,1,63866.0,63866.0,60672.0,-0.019085914257977624,51.677113924621814,-135.49942932554563,-0.006588780547519435,0.7151004390574046,5.087483405555957,5.497796782701334,5.36729869085115
2024-04-30,2024-05-01,"(0, 1, 0, 0, 2, 1)",1,BUY,HOLD,-3.8524624208860803,1,1,60672.0,60672.01,58364.97,-0.02449655524789037,40.31679752816029,-297.5517764536909,-0.05932462757956247,1.3732621685821509,4.252098007014376,7.75310315005828,4.909141353667241
2024-05-01,2024-05-02,"(0, 1, 0, 0, 2, 1)",1,BUY,HOLD,1.1418793070569577,1,1,58364.97,58364.97,59060.61,-0.034013552992488545,40.84643738968203,-523.7268000156837,-0.08475833703021218,1.9109250042667745,4.252098007014376,7.75310315005828,4.909141353667241
2024-05-02,2024-05-03,"(0, 0, 0, 0, 1, 1)",2,SELL,SELL,-0.10001691482698669,1,0,59060.61,59060.6,62882.01,-0.04169747823464733,34.70154716826643,-585.4191425004565,-0.06935443867336011,1.1315872030654828,4.344337530660188,4.187477140414887,4.878658350398298
2024-05-03,2024-05-04,"(0, 1, 0, 1, 1, 0)",0,HOLD,HOLD,0.0,0,0,62882.01,62882.01,63892.04,-0.03908710138241438,47.38327622762366,-339.9699230116987,-0.0037486561017968656,1.0729481937756127,4.990603590806036,3.6122308115640447,4.686776242771208
2024-05-04,2024-05-05,"(0, 1, 1, 1, 0, 0)",0,HOLD,HOLD,0.0,0,0,63892.04,63892.03,64012.0,-0.037002692354164785,47.050062428224436,-93.51738177366951,0.0004077286819277326,0.6280486473850558,4.893313618720484,4.712511114386314,4.790633832045679
2024-05-05,2024-05-06,"(0, 1, 1, 2, 0, 0)",2,SELL,HOLD,-0.05,0,0,64012.0,64012.0,63165.19,-0.02696022620758594,47.403420894811646,84.0555296395055,0.05505010548523215,0.499272307143974,3.5459900234910897,3.663749288359768,5.214833797073854
2024-05-06,2024-05-07,"(0, 1, 2, 2, 1, 0)",0,HOLD,HOLD,0.0,0,0,63165.19,63165.18,62312.08,-0.011625453829870427,39.163604767369776,147.2587756533021,0.0822448807906524,0.9586787584867816,5.627478425514422,5.240601173408215,5.3820269815816495
2024-05-07,2024-05-08,"(1, 1, 2, 2, 0, 0)",1,BUY,BUY,-1.8940680834387345,0,1,62312.08,62312.07,61193.03,-0.0021787990386454978,38.15038386340841,134.7264286897837,0.05505310561472365,0.7330928134341361,5.189424706248565,5.636837084326875,5.568166483043682
2024-05-08,2024-05-09,"(1, 1, 1, 1, 0, 1)",2,SELL,SELL,-0.09999999999999715,1,0,61193.03,61193.03,63074.01,-0.0058782675085709895,40.5030276859058,58.102707327878534,-0.026859510375065954,0.7672575345750497,4.6769488299289135,3.6740884433366503,5.267747619626901
2024-05-09,2024-05-10,"(1, 1, 2, 1, 1, 0)",1,BUY,BUY,-3.7016995751022663,0,1,63074.01,63074.0,60799.99,-0.007707057153968773,46.03804928036603,136.64697439774488,-0.012803316344258242,0.9554866426924455,5.521025015047122,6.461038790488727,5.750111738033438
2024-05-10,2024-05-11,"(0, 1, 1, 0, 1, 1)",0,HOLD,HOLD,0.04276316492814966,1,1,60799.99,60799.99,60825.99,-0.015156038676979943,42.39267857874676,42.85627098723921,-0.050178247828532196,1.115100077708227,4.015540232689511,2.3881235524889957,3.126031007632835
2024-05-11,2024-05-12,"(0, 1, 1, 0, 0, 1)",2,SELL,SELL,-0.09999999999999634,1,0,60825.99,60825.99,61483.99,-0.019458277621128783,43.14927617514008,-7.34976455922822,-0.037033055706790496,0.41201065807733095,3.1907785629658187,3.326828958296176,6.468906545304544
2024-05-12,2024-05-13,"(0, 1, 1, 1, 0, 0)",0,HOLD,HOLD,0.0,0,0,61483.99,61484.0,62940.08,-0.01760491633675682,45.820089692795264,12.743623813946556,-0.013289397497243005,0.404483003340981,4.893313618720484,4.712511114386314,4.790633832045679
2024-05-13,2024-05-14,"(1, 1, 2, 1, 1, 0)",1,BUY,BUY,-2.262750958888043,0,1,62940.08,62940.09,61577.49,-0.008886459947302265,47.71514530562449,126.74919457230533,0.028549820134744053,1.02176536572948,5.521025015047122,6.461038790488727,5.750111738033438
2024-05-14,2024-05-15,"(0, 1, 1, 1, 1, 1)",2,SELL,SELL,-0.10000000000000135,1,0,61577.49,61577.49,66206.5,-0.011741522754500078,52.456470749092134,113.47028176123604,-0.023726412828358412,0.9144293251939571,4.448171438197848,4.57111406664093,5.215714414588296
2024-05-15,2024-05-16,"(1, 2, 2, 2, 2, 0)",2,SELL,HOLD,-0.05,0,0,66206.5,66206.51,65235.21,0.004121657239092718,68.89280377628151,403.21931591609757,0.08892287646757846,1.3435365767819136,4.547419811173513,4.531460554696572,6.767885441811674
2024-05-16,2024-05-17,"(2, 1, 2, 2, 1, 0)",2,SELL,HOLD,-0.05,0,0,65235.21,65235.21,67024.0,0.01657792624565786,64.6816153819084,509.3941923824093,0.07248907909267066,0.9535172111226002,5.355655660401784,4.995185607679921,5.450580601864779
2024-05-17,2024-05-18,"(2, 1, 2, 2, 0, 0)",2,SELL,HOLD,-0.05,0,0,67024.0,67024.0,66915.2,0.030009630878491286,60.902423860520216,669.9233259075087,0.09010491999624626,0.7993814614503759,5.367232510508098,4.905995877557134,5.3830431348224685
2024-05-18,2024-05-19,"(2, 1, 2, 2, 0, 0)",2,SELL,HOLD,-0.05,0,0,66915.2,66915.2,66274.01,0.039102632884606185,58.35380916853185,733.4788008438516,0.06315721238358751,0.4407481818593227,5.367232510508098,4.905995877557134,5.3830431348224685
2024-05-19,2024-05-20,"(2, 1, 2, 2, 0, 0)",2,SELL,HOLD,-0.05,0,0,66274.01,66274.0,71446.62,0.05183727376689595,56.07553397046474,697.2737496576067,0.07627007856279944,0.5587668462846885,5.367232510508098,4.905995877557134,5.3830431348224685
2024-05-20,2024-05-21,"(2, 2, 2, 2, 2, 0)",0,HOLD,HOLD,0.0,0,0,71446.62,71446.62,70148.34,0.05521264686838927,68.04899237322006,969.8725679731566,0.07914811989759296,1.5854192583417839,5.057830402638981,3.95956396744266,4.766970909207915
2024-05-21,2024-05-22,"(2, 2, 2, 2, 2, 0)",0,HOLD,HOLD,0.0,0,0,70148.34,70148.34,69166.62,0.06184343777771498,66.75366768291377,1006.5659702744849,0.07531408268632833,1.6278299351574175,5.057830402638981,3.95956396744266,4.766970909207915
2024-05-22,2024-05-23,"(2, 2, 2, 2, 1, 0)",1,BUY,BUY,-1.8288296435477185,0,1,69166.62,69166.62,67969.65,0.06161119337622647,67.14797003101587,911.3828514883729,0.03196795177846745,0.9387406344004822,4.787801615583123,5.430580611483115,4.754797205411192
2024-05-23,2024-05-24,"(2, 1, 2, 1, 2, 1)",2,SELL,SELL,-0.0999853022635819,1,0,67969.65,67969.66,68549.99,0.06205631484052068,60.84768866971319,722.7177625177496,0.01575800416048967,1.3816041228219134,3.940020345720216,4.876200058699838,5.761621799475053
2024-05-24,2024-05-25,"(2, 2, 2, 2, 1, 0)",1,BUY,BUY,0.9792699167425254,0,1,68549.99,68549.99,69290.57,0.06477381688895933,68.56582699619771,597.1266735085283,0.03434196904638798,0.9520899941970726,4.787801615583123,5.430580611483115,4.754797205411192
2024-05-25,2024-05-26,"(2, 2, 2, 0, 0, 1)",2,SELL,SELL,-0.10001441754630466,1,0,69290.57,69290.56,68507.67,0.05404928838079986,69.60640703855137,526.5180081188838,-0.03017707485672505,0.4155692521887012,4.081797738284924,3.031325096169359,7.0617660957946065
