datetime,equity,equity_curve,market_curve,position,close
2024-04-29,100000.0,1.0,1.0,0,63866.0
2024-04-30,94903.90505120096,0.9490390505120095,0.9499890395515611,1,60672.0
2024-05-01,91295.21972567563,0.9129521972567564,0.9138660633200765,1,58364.97
2024-05-02,92383.34855791814,0.9238334855791814,0.9247582438230044,1,59060.61
2024-05-03,92290.94958287665,0.9229094958287665,0.9845928976294117,0,62882.01
2024-05-04,92290.94958287665,0.9229094958287665,1.000407728681928,0,63892.04
2024-05-05,92290.94958287665,0.9229094958287665,1.002286036388689,0,64012.0
2024-05-06,92290.94958287665,0.9229094958287665,0.989026868756459,0,63165.19
2024-05-07,92290.94958287665,0.9229094958287665,0.9756690570882788,0,62312.08
2024-05-08,90542.89616292485,0.9054289616292485,0.9581472144803183,1,61193.03
2024-05-09,90452.35326676193,0.9045235326676193,0.9875991920583724,0,63074.01
2024-05-10,87104.0788902162,0.871040788902162,0.9519930792597002,1,60799.99
2024-05-11,87141.32735113117,0.8714132735113117,0.9524001816302886,1,60825.99
2024-05-12,87054.18602378004,0.8705418602378004,0.9627030031628725,0,61483.99
2024-05-13,87054.18602378004,0.8705418602378004,0.9855021451163376,0,62940.08
2024-05-14,85084.36659477478,0.8508436659477477,0.9641670059186424,1,61577.49
2024-05-15,84999.28222818,0.8499928222818001,1.0366470422447,0,66206.5
2024-05-16,84999.28222818,0.8499928222818001,1.0214387937243605,0,65235.21
2024-05-17,84999.28222818,0.8499928222818001,1.049447280243009,0,67024.0
2024-05-18,84999.28222818,0.8499928222818001,1.0477437133999314,0,66915.2
2024-05-19,84999.28222818,0.8499928222818001,1.0377040992077164,0,66274.01
2024-05-20,84999.28222818,0.8499928222818001,1.1186957066357688,0,71446.62
2024-05-21,84999.28222818,0.8499928222818001,1.0983675194939406,0,70148.34
2024-05-22,84999.28222818,0.8499928222818001,1.0829959602918613,0,69166.62
2024-05-23,83444.79015798826,0.8344479015798826,1.0642540631948143,1,67969.65
2024-05-24,83361.35763232558,0.8336135763232558,1.0733409012620176,0,68549.99
2024-05-25,84177.6903298071,0.841776903298071,1.0849367425547243,1,69290.57
2024-05-26,84093.50050311981,0.8409350050311981,1.0726782638649675,0,68507.67
2024-05-27,84093.50050311981,0.8409350050311981,1.087220586853725,0,69436.43
2024-05-28,84093.50050311981,0.8409350050311981,1.0709671812858175,0,68398.39
2024-05-29,84093.50050311981,0.8409350050311981,1.0592869445401312,0,67652.42
2024-05-30,84093.50050311981,0.8409350050311981,1.0702434785331791,0,68352.17
2024-05-31,84093.50050311981,0.8409350050311981,1.0575268530986754,0,67540.01
2024-06-01,84093.50050311981,0.8409350050311981,1.0610786647042247,0,67766.85
2024-06-02,84093.50050311981,0.8409350050311981,1.061059562208374,0,67765.63
2024-06-03,84093.50050311981,0.8409350050311981,1.077410515767388,0,68809.9
2024-06-04,84093.50050311981,0.8409350050311981,1.104466226161025,0,70537.84
2024-06-05,84093.50050311981,0.8409350050311981,1.1133936679923593,0,71108.0
2024-06-06,84093.50050311981,0.8409350050311981,1.1085563523627597,0,70799.06
2024-06-07,84093.50050311981,0.8409350050311981,1.0859549682146998,0,69355.6
2024-06-08,84093.50050311981,0.8409350050311981,1.0852481758682244,0,69310.46
2024-06-09,84093.50050311981,0.8409350050311981,1.0905354961951588,0,69648.14
2024-06-10,84093.50050311981,0.8409350050311981,1.0888422634891806,0,69540.0
2024-06-11,84093.50050311981,0.8409350050311981,1.0539917953214544,0,67314.24
2024-06-12,84093.50050311981,0.8409350050311981,1.0688627751855448,0,68263.99
2024-06-13,84093.50050311981,0.8409350050311981,1.045517333166317,0,66773.01
2024-06-14,84093.50050311981,0.8409350050311981,1.0341024958506877,0,66043.99
2024-06-15,84243.78977286273,0.8424378977286273,1.0369875990354807,1,66228.25
2024-06-16,84159.54598308986,0.8415954598308986,1.044011993862149,0,66676.87
2024-06-17,83857.83680411575,0.8385783680411575,1.0413103998997904,1,66504.33
2024-06-18,83773.97896731163,0.8377397896731164,1.0205010490714936,0,65175.32
2024-06-19,83432.16948207589,0.8343216948207589,1.0173546174803496,1,64974.37
2024-06-20,83348.7373125938,0.833487373125938,1.0157202580402718,0,64869.99
2024-06-21,83348.7373125938,0.833487373125938,1.004345974383866,0,64143.56
2024-06-22,83348.7373125938,0.833487373125938,1.0062006388375662,0,64262.01
2024-06-23,83348.7373125938,0.833487373125938,0.9897286506122194,0,63210.01
2024-06-24,83348.7373125938,0.833487373125938,0.944059436946106,0,60293.3
2024-06-25,83348.7373125938,0.833487373125938,0.9677451226004447,0,61806.01
2024-06-26,83348.7373125938,0.833487373125938,0.953010835186171,0,60864.99
2024-06-27,83348.7373125938,0.833487373125938,0.9661865468324304,0,61706.47
2024-06-28,83348.7373125938,0.833487373125938,0.9461660351360661,0,60427.84
2024-06-29,83348.7373125938,0.833487373125938,0.9549162308583597,0,60986.68
2024-06-30,83348.7373125938,0.833487373125938,0.9828705414461529,0,62772.01
2024-07-01,83435.15061460198,0.8343515061460198,0.9848744245764569,1,62899.99
2024-07-02,83351.72871545459,0.8335172871545459,0.9729037359471393,0,62135.47
2024-07-03,83351.72871545459,0.8335172871545459,0.9427329095293271,0,60208.58
2024-07-04,83351.72871545459,0.8335172871545459,0.8932767043497324,0,57050.01
2024-07-05,83351.72871545459,0.8335172871545459,0.8866813327905303,0,56628.79
2024-07-06,83351.72871545459,0.8335172871545459,0.911754767795071,0,58230.13
2024-07-07,83351.72871545459,0.8335172871545459,0.8746094948799049,0,55857.81
2024-07-08,83351.72871545459,0.8335172871545459,0.8880252403469767,0,56714.62
2024-07-09,83351.72871545459,0.8335172871545459,0.9089343312560676,0,58050.0
2024-07-10,83351.72871545459,0.8335172871545459,0.9038588607396739,0,57725.85
2024-07-11,83351.72871545459,0.8335172871545459,0.8978155826261237,0,57339.89
2024-07-12,83351.72871545459,0.8335172871545459,0.9064149938934647,0,57889.1
2024-07-13,83351.72871545459,0.8335172871545459,0.9270037265524694,0,59204.02
2024-07-14,83351.72871545459,0.8335172871545459,0.9519605110700532,0,60797.91
2024-07-15,83351.72871545459,0.8335172871545459,1.013436570319106,0,64724.14
2024-07-16,83351.72871545459,0.8335172871545459,1.0184447123665177,0,65043.99
2024-07-17,82044.50697439224,0.8204450697439224,1.003475871355651,1,64087.99
2024-07-18,81962.46246741785,0.8196246246741785,1.0019089969623902,0,63987.92
2024-07-19,81962.46246741785,0.8196246246741785,1.0437478470547712,0,66660.0
2024-07-20,82470.03705988602,0.8247003705988601,1.0512629568158336,1,67139.96
2024-07-21,83729.54222790316,0.8372954222790316,1.0673181348448317,1,68165.34
2024-07-22,82951.60389473857,0.8295160389473857,1.0574015908308023,1,67532.01
2024-07-23,80991.18897719054,0.8099118897719054,1.032411768390067,1,65936.01
2024-07-24,80910.18551719518,0.8091018551719518,1.0236432530610973,0,65376.0
2024-07-25,80910.18551719518,0.8091018551719518,1.030281370369211,0,65799.95
2024-07-26,80910.18551719518,0.8091018551719518,1.063288604265181,0,67907.99
2024-07-27,80910.18551719518,0.8091018551719518,1.0631086963329477,0,67896.5
2024-07-28,80910.18551719518,0.8091018551719518,1.0686418438605838,0,68249.88
2024-07-29,80910.18551719518,0.8091018551719518,1.0457002160774127,0,66784.69
2024-07-30,80910.18551719518,0.8091018551719518,1.0363573732502434,0,66188.0
2024-07-31,80910.18551719518,0.8091018551719518,1.0119312310149382,0,64628.0
2024-08-01,81737.28506590238,0.8173728506590239,1.0232990949801153,1,65354.02
2024-08-02,81655.54778083648,0.8165554778083648,0.9629275357780359,0,61498.33
2024-08-03,81655.54778083648,0.8165554778083648,0.9503959853443152,0,60697.99
2024-08-04,81655.54778083648,0.8165554778083648,0.9106723452228108,0,58161.0
2024-08-05,81655.54778083648,0.8165554778083648,0.8458148310525166,0,54018.81
2024-08-06,81655.54778083648,0.8165554778083648,0.877180502928006,0,56022.01
2024-08-07,81655.54778083648,0.8165554778083648,0.8632787398615857,0,55134.16
2024-08-08,81655.54778083648,0.8165554778083648,0.9658658754266749,0,61685.99
2024-08-09,81655.54778083648,0.8165554778083648,0.9525880750320987,0,60837.99
2024-08-10,81655.54778083648,0.8165554778083648,0.9539271286756651,0,60923.51
2024-08-11,81655.54778083648,0.8165554778083648,0.9193090220148439,0,58712.59
2024-08-12,81655.54778083648,0.8165554778083648,0.9292368396329819,0,59346.64
2024-08-13,81655.54778083648,0.8165554778083648,0.9486604766229297,0,60587.15
2024-08-14,81655.54778083648,0.8165554778083648,0.9188518147371062,0,58683.39
2024-08-15,81655.54778083648,0.8165554778083648,0.9009654589296343,0,57541.06
2024-08-16,83464.4184571581,0.834644184571581,0.9218457395171145,1,58874.6
