datetime,action,price,fee,btc,cash_after
2024-04-30,BUY,63866.0,100.0,1.5642125700685812,0.0
2024-05-03,SELL,59060.6,92.38333291579245,0.0,92290.94958287665
2024-05-08,BUY,62312.07,92.29094958287665,1.4796276007729123,0.0
2024-05-09,SELL,61193.03,90.54289616292485,0.0,90452.35326676193
2024-05-10,BUY,63074.0,90.45235326676193,1.4326331121142653,0.0
2024-05-12,SELL,60825.99,87.14132735113117,0.0,87054.18602378004
2024-05-14,BUY,62940.09,87.05418602378005,1.381744637444215,0.0
2024-05-15,SELL,61577.49,85.08436659477478,0.0,84999.28222818
2024-05-23,BUY,69166.62,84.99928222818001,1.2276772082538054,0.0
2024-05-24,SELL,67969.66,83.44480243476035,0.0,83361.35763232558
2024-05-25,BUY,68549.99,83.36135763232558,1.2148505969832126,0.0
2024-05-26,SELL,69290.56,84.1776781813011,0.0,84093.50050311981
2024-06-15,BUY,66043.99,84.09350050311981,1.2720219811464553,0.0
2024-06-16,SELL,66228.25,84.24378977286273,0.0,84159.54598308986
2024-06-17,BUY,66676.86,84.15954598308987,1.2609379991365337,0.0
2024-06-18,SELL,66504.33,83.85783680411575,0.0,83773.97896731163
2024-06-19,BUY,65175.32,83.77397896731163,1.2840781600818274,0.0
2024-06-20,SELL,64974.37,83.43216948207589,0.0,83348.7373125938
2024-07-01,BUY,62772.01,83.3487373125938,1.32647319363011,0.0
2024-07-02,SELL,62900.0,83.43516387933393,0.0,83351.72871545459
2024-07-17,BUY,65044.0,83.3517287154546,1.2801853666247331,0.0
2024-07-18,SELL,64087.99,82.04450697439223,0.0,81962.46246741785
2024-07-20,BUY,66660.01,81.96246246741785,1.228330148839618,0.0
2024-07-24,SELL,65936.0,80.99117669388907,0.0,80910.18551719518
2024-08-01,BUY,64628.01,80.91018551719517,1.2506848861921942,0.0
2024-08-02,SELL,65354.02,81.73728506590238,0.0,81655.54778083648
2024-08-16,BUY,57541.05,81.65554778083649,1.4176642976284868,0.0
2024-08-17,SELL,58874.59,83.46440428051513,0.0,83380.93987623461
2024-08-21,BUY,59013.8,83.3809398762346,1.4114928870257188,0.0
2024-08-23,SELL,60375.83,85.22005459327401,0.0,85134.83453868073
2024-08-30,BUY,59359.0,85.13483453868074,1.432802097477081,0.0
2024-08-31,SELL,59123.99,84.71297688321395,0.0,84628.26390633074
2024-09-02,BUY,57301.77,84.62826390633074,1.4754105439050909,0.0
2024-09-03,SELL,59132.12,87.2441533314611,0.0,87156.90917812964
2024-09-04,BUY,57487.74,87.15690917812965,1.5145794958881933,0.0
2024-09-06,SELL,56180.0,85.0890760789987,0.0,85003.9870029197
2024-09-10,BUY,57042.01,85.0039870029197,1.488709514547555,0.0
2024-09-11,SELL,57635.99,85.80324669336774,0.0,85717.44344667437
2024-09-18,BUY,60313.99,85.71744344667437,1.4197655635653967,0.0
2024-09-19,SELL,61759.98,87.68469281048765,0.0,87597.00811767715
2024-09-21,BUY,63201.05,87.59700811767715,1.3846195768829705,0.0
2024-09-24,SELL,63339.99,87.70179015357158,0.0,87614.088363418
2024-09-28,BUY,65769.95,87.614088363418,1.3307973363983794,0.0
2024-10-03,SELL,60649.27,80.71188697050614,0.0,80631.17508353564
2024-10-05,BUY,62086.0,80.63117508353564,1.297402698006831,0.0
2024-10-07,SELL,62819.91,81.50272072254631,0.0,81421.21800182376
2024-10-13,BUY,63206.23,81.42121800182376,1.2868952440894186,0.0
2024-10-14,SELL,62870.02,80.90712973380663,0.0,80826.22260407281
2024-10-18,BUY,67421.78,80.82622260407281,1.1976159095987786,0.0
2024-10-19,SELL,68427.99,81.95044948586613,0.0,81868.49903638026
2024-10-29,BUY,69962.21,81.86849903638027,1.1690115354752784,0.0
2024-10-30,SELL,72736.41,85.0297023390594,0.0,84944.67263672034
2024-10-31,BUY,72344.75,84.94467263672034,1.1729908246843568,0.0
2024-11-01,SELL,70292.01,82.45188277862104,0.0,82369.43089584242
2024-11-04,BUY,68775.99,82.36943089584243,1.1964504104549651,0.0
2024-11-05,SELL,67850.01,81.17917231387348,0.0,81097.99314155961
2024-11-07,BUY,75571.99,81.09799314155961,1.0720492493107305,0.0
2024-11-08,SELL,75857.89,81.32339402879597,0.0,81242.07063476718
2024-11-09,BUY,76509.78,81.24207063476719,1.0607902488300505,0.0
2024-11-11,SELL,80370.01,85.25572290637365,0.0,85170.46718346728
2024-11-16,BUY,91032.08,85.17046718346728,0.9346737624393928,0.0
2024-11-19,SELL,90464.07,84.5543926724806,0.0,84469.83827980813
2024-11-20,BUY,92310.8,84.46983827980813,0.9141440486002539,0.0
2024-11-21,SELL,94286.56,86.19149768699076,0.0,86105.30618930377
2024-11-23,BUY,98892.0,86.10530618930377,0.8698297221525954,0.0
2024-11-26,SELL,93010.01,80.9028711557101,0.0,80821.9682845544
2024-11-27,BUY,91965.16,80.8219682845544,0.8779536328351938,0.0
2024-11-28,SELL,95863.11,84.16336567937981,0.0,84079.20231370041
2024-11-29,BUY,95643.99,84.07920231370042,0.8782059710326462,0.0
2024-11-30,SELL,97460.0,85.58995393684171,0.0,85504.36398290486
2024-12-01,BUY,96407.99,85.50436398290486,0.8860143191339426,0.0
2024-12-03,SELL,95840.61,84.91615281453173,0.0,84831.2366617172
2024-12-06,BUY,96945.63,84.8312366617172,0.8741642653212474,0.0
2024-12-07,SELL,99740.84,87.18987812112407,0.0,87102.68824300295
2024-12-08,BUY,99831.99,87.10268824300296,0.8716202647544133,0.0
2024-12-12,SELL,101125.0,88.14259927329005,0.0,88054.45667401676
2024-12-15,BUY,101420.0,88.05445667401676,0.8673476850457774,0.0
2024-12-16,SELL,104463.99,90.60659989714526,0.0,90515.9932972481
2024-12-19,BUY,100204.01,90.5159932972481,0.9024137587303229,0.0
2024-12-20,SELL,97461.86,87.95092341544851,0.0,87862.97249203306
2024-12-24,BUY,94881.47,87.86297249203307,0.9251027573618013,0.0
2024-12-28,SELL,94299.03,87.23629266954322,0.0,87149.05637687366
2024-12-29,BUY,95300.0,87.14905637687366,0.9135562153252549,0.0
2024-12-30,SELL,93738.19,85.63510608783966,0.0,85549.47098175182
2025-01-02,BUY,94591.78,85.54947098175182,0.9035026247605242,0.0
2025-01-03,SELL,96984.79,87.62601232684824,0.0,87538.3863145214
2025-01-07,BUY,102235.6,87.5383863145214,0.8553854814585806,0.0
2025-01-08,SELL,96954.6,82.93355720062411,0.0,82850.62364342349
2025-01-13,BUY,94545.07,82.85062364342349,0.8754319291294624,0.0
2025-01-15,SELL,96560.85,84.53245119388066,0.0,84447.91874268677
2025-01-17,BUY,99987.3,84.44791874268677,0.8437418634560997,0.0
2025-01-18,SELL,104077.47,87.81451848159632,0.0,87726.70396311472
2025-01-20,BUY,101331.57,87.72670396311472,0.8648733781500829,0.0
2025-01-21,SELL,102260.0,88.44195164962747,0.0,88353.50969797785
2025-02-11,BUY,97430.82,88.35350969797784,0.9059264428676661,0.0
2025-02-13,SELL,97870.0,88.66302096345848,0.0,88574.35794249501
2025-02-15,BUY,97500.47,88.57435794249501,0.9075421234846615,0.0
2025-02-16,SELL,97569.67,88.54858549949768,0.0,88460.03691399818
2025-03-08,BUY,86801.74,88.46003691399818,1.0180853157676812,0.0
2025-03-09,SELL,86222.46,87.78182041536627,0.0,87694.03859495091
2025-03-12,BUY,82932.99,87.69403859495091,1.0563509715055004,0.0
2025-03-13,SELL,83680.12,88.39557605769684,0.0,88307.18048163915
2025-03-24,BUY,86082.5,88.30718048163915,1.0248177422955596,0.0
2025-03-26,SELL,87392.88,89.56177397430676,0.0,89472.21220033246
2025-04-01,BUY,82550.0,89.47221220033246,1.0827709265673184,0.0
2025-04-02,SELL,85158.35,92.20698553444402,0.0,92114.77854890957
2025-04-15,BUY,84591.58,92.11477854890957,1.0878466127522461,0.0
2025-04-16,SELL,83643.99,90.99183119858276,0.0,90900.83936738418
2025-04-22,BUY,87516.22,90.90083936738418,1.0376355209127723,0.0
2025-04-23,SELL,93442.99,96.95976560429698,0.0,96862.80583869269
2025-04-24,BUY,93691.07,96.8628058386927,1.0328192754427288,0.0
2025-04-26,SELL,94638.68,97.74465290645627,0.0,97646.9082535498
2025-05-12,BUY,104118.0,97.64690825354981,0.9369106335628447,0.0
2025-05-13,SELL,102791.32,96.3062807459611,0.0,96209.97446521514
2025-05-22,BUY,109643.99,96.20997446521514,0.8765985667864687,0.0
2025-05-23,SELL,111696.22,97.91274636746611,0.0,97814.83362109865
2025-06-03,BUY,105858.0,97.81483362109864,0.9230952671265048,0.0
2025-06-06,SELL,101508.69,93.70219131121158,0.0,93608.48911990036
2025-06-07,BUY,104288.43,93.60848911990037,0.8966946825336278,0.0
2025-06-10,SELL,110263.02,98.87226371409906,0.0,98773.39145038495
2025-07-10,BUY,111234.0,98.77339145038495,0.8870904405032145,0.0
2025-07-11,SELL,116010.01,102.91137087368232,0.0,102808.45950280863
2025-07-26,BUY,117614.31,102.80845950280863,0.8732411136306953,0.0
2025-07-27,SELL,117919.99,102.97258338692046,0.0,102869.61080353355
2025-08-05,BUY,115055.03,102.86961080353355,0.8931964225530167,0.0
2025-08-06,SELL,114129.75,101.94028440687015,0.0,101838.34412246328
2025-08-07,BUY,114992.27,101.83834412246328,0.884724736526558,0.0
2025-08-08,SELL,117472.02,103.93040194374257,0.0,103826.47154179882
2025-08-14,BUY,123306.44,103.82647154179882,0.8411778417271394,0.0
2025-08-15,SELL,118295.09,99.50720849311772,0.0,99407.70128462459
2025-08-19,BUY,116227.05,99.4077012846246,0.8544335727641712,0.0
2025-08-21,SELL,114271.23,97.63717531305635,0.0,97539.5381377433
2025-08-24,BUY,115438.06,97.53953813774329,0.844106342393536,0.0
