datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,,,0,0.0,0,100000.0,1.0,0.0,1.0
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,,,0,0.0,0,100000.0,1.0,-0.032654478290757405,0.9673455217092426
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,,,0,0.0,0,100000.0,1.0,0.054445275499554135,1.0200129151419621
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,,,0,0.0,0,100000.0,1.0,0.0012457521892561552,1.0212835984640698
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,7244.875999999999,,0,0.0,0,100000.0,1.0,0.000630939705824396,1.021927966837248
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,7356.306,,0,0.0,0,100000.0,1.0,0.05425513844063201,1.0773728101543565
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,7592.219999999999,,0,0.0,0,100000.0,1.0,0.049920082495488405,1.1311553497156581
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,7734.423999999999,,0,0.0,0,100000.0,1.0,-0.010963404572955193,1.1187540359818628
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,7827.1539999999995,,0,0.0,0,100000.0,1.0,-0.02957057986737799,1.0856718304089097
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,7994.808,,0,0.0,0,100000.0,1.0,0.048512617424940174,1.1383406125665716
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,8047.210000000001,,0,0.0,0,100000.0,1.0,-0.02159443309885789,1.1137587923647898
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,8055.15,,0,0.0,0,100000.0,1.0,0.02056979978827944,1.1366685877361695
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,8066.022,,0,0.0,0,100000.0,1.0,-0.00911914262466118,1.1263031447676313
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,8264.472,,0,0.0,0,100000.0,1.0,0.08626888638454133,1.2234680627981416
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,8389.35,,0,0.0,0,100000.0,1.0,0.0012939826402011967,1.225051209232243
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,8529.35,,0,0.0,0,100000.0,1.0,-0.011494761041602186,1.2109695383183925
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,8675.01,,0,0.0,0,100000.0,1.0,0.02216396540829657,1.2378094252761822
